Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2011-07-05	599.9	606.9	594.2	597.4	2963800	535.897	-0.000167354898918
2011-07-06	597.5	602.9	593.9	597.85	2082500	536.3007	0.000753316402219
2011-07-07	599.0	608.0	598.5	606.7	2919400	544.2396	0.0148030759609
2011-07-08	606.0	606.0	592.1	594.9	4050700	533.6544	-0.019449521865
2011-07-11	595.5	595.85	586.05	587.8	1815900	527.2853	-0.0119348777036
2011-07-12	580.65	585.0	570.0	572.0	4431900	513.112	-0.0268797556086
2011-07-13	577.0	579.35	570.15	575.0	4031900	515.8031	0.00524466393302
2011-07-14	573.75	583.6	571.0	576.55	2529400	517.1935	0.00269560225598
2011-07-15	578.0	581.3	569.05	572.95	2160300	513.9642	-0.00624389130954
2011-07-18	573.55	577.0	570.25	571.6	1903200	512.7531	-0.00235638980303
2011-07-19	572.0	578.25	568.8	576.4	2557100	517.059	0.00839760890768
2011-07-20	579.0	581.7	574.05	575.45	2421800	516.2068	-0.00164816781064
2011-07-21	575.45	578.25	571.8	573.35	1194300	514.323	-0.00364931263982
2011-07-22	580.0	586.4	575.65	584.25	2309600	524.1008	0.0190110105906
2011-07-25	580.0	595.0	579.0	591.25	2555100	530.3802	0.0119812829898
2011-07-26	592.7	595.7	580.6	583.35	2153100	523.2934	-0.0133617356002
2011-07-27	583.0	590.75	576.5	579.85	2528500	520.1538	-0.0059996934798
2011-07-28	575.0	578.9	566.2	568.65	2664300	510.1069	-0.0193152486822
2011-07-29	570.0	572.0	562.4	564.0	2254700	505.9356	-0.00817730558046
2011-08-01	570.75	575.95	562.8	573.8	2403500	514.7266	0.017375729243
2011-08-02	571.0	573.4	561.55	564.4	2040200	506.2944	-0.0163819006051
2011-08-03	559.9	565.5	556.0	563.35	2350700	505.3525	-0.00186038004766
2011-08-04	566.0	568.0	554.2	557.75	2455900	500.329	-0.00994058602659
2011-08-05	546.5	546.5	527.0	532.95	4924300	478.0822	-0.0444643424627
2011-08-08	519.9	519.9	503.0	509.1	5526300	456.6876	-0.0447508817521
2011-08-09	495.0	504.85	477.75	485.15	8847300	435.2033	-0.0470437559505
2011-08-10	503.05	505.0	480.65	484.95	5973600	435.0239	-0.000412221138948
2011-08-11	481.5	490.0	480.1	484.4	3241700	434.5305	-0.00113419055827
2011-08-12	489.9	489.9	471.0	474.95	6886000	426.0534	-0.0195086420861
2011-08-16	480.0	481.9	466.25	469.0	4218300	420.7159	-0.0125277723403
2011-08-17	470.25	474.7	460.55	472.9	3977800	424.2144	0.00831558778739
2011-08-18	472.65	472.65	458.6	462.6	3031200	414.9748	-0.0217804959002
2011-08-19	454.0	467.95	450.0	459.4	4263500	412.1043	-0.00691728750758
2011-08-22	461.35	472.4	456.1	469.95	2634300	421.5681	0.0229645747448
2011-08-23	473.0	478.25	464.1	475.5	2680700	426.5467	0.0118097171015
2011-08-24	474.0	479.9	452.15	454.5	5489600	407.7087	-0.0441639801691
2011-08-25	456.7	460.95	441.05	443.7	9748300	398.0206	-0.0237623087268
2011-08-26	441.9	444.8	418.3	422.3	4940600	378.8237	-0.0482309207111
