Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225
2015-01-13	16970.880859	17087.710938	16828.269531	17087.710938	149200	17087.710938	-0.00639732848461
2015-01-14	16961.820312	17036.720703	16770.560547	16795.960938	148500	16795.960938	-0.0170736736511
2015-01-15	16872.949219	17141.980469	16856.220703	17108.699219	147700	17108.699219	0.0186198504601
2015-01-16	16812.960938	16864.339844	16592.570312	16864.160156	171100	16864.160156	-0.014293258644
2015-01-19	17000.779297	17039.800781	16911.580078	17014.289062	128000	17014.289062	0.00890224621987
2015-01-20	17071.650391	17366.300781	17066.769531	17366.300781	133000	17366.300781	0.0206891817646
2015-01-21	17308.720703	17329.029297	17181.550781	17280.480469	131900	17280.480469	-0.00494177275185
2015-01-22	17306.640625	17355.740234	17229.210938	17329.019531	118200	17329.019531	0.00280889539426
2015-01-23	17520.630859	17532.060547	17460.759766	17511.75	128500	17511.75	0.0105447667523
2015-01-26	17285.710938	17471.939453	17285.710938	17468.519531	108300	17468.519531	-0.00246865498879
2015-01-27	17649.400391	17768.410156	17633.470703	17768.300781	139700	17768.300781	0.0171612282007
2015-01-28	17615.929688	17850.589844	17615.929688	17795.730469	141900	17795.730469	0.00154374289011
2015-01-29	17666.910156	17778.830078	17575.099609	17606.220703	135800	17606.220703	-0.0106491703912
2015-01-30	17788.740234	17808.470703	17661.099609	17674.390625	168300	17674.390625	0.00387192249546
2015-02-02	17536.609375	17628.400391	17459.449219	17558.039062	139700	17558.039062	-0.00658305938058
2015-02-03	17654.599609	17654.599609	17271.869141	17335.849609	169700	17335.849609	-0.0126545710609
2015-02-04	17549.300781	17743.109375	17535.039062	17678.740234	181400	17678.740234	0.0197792800892
2015-02-05	17589.210938	17619.339844	17484.669922	17504.619141	179500	17504.619141	-0.0098491799017
2015-02-06	17696.179688	17700.669922	17603.070312	17648.5	138200	17648.5	0.00821959380213
2015-02-09	17790.310547	17799.490234	17653.609375	17711.929688	125600	17711.929688	0.00359405547214
2015-02-10	17662.669922	17673.269531	17550.029297	17652.679688	120200	17652.679688	-0.00334520298148
2015-02-11	17652.679688	17652.679688	17652.679688	17652.679688	0	17652.679688	0.0
2015-02-12	17899.400391	18005.449219	17884.339844	17979.720703	175800	17979.720703	0.0185264232275
2015-02-13	17892.099609	17962.109375	17864.550781	17913.359375	162000	17913.359375	-0.00369089871284
2015-02-16	18024.009766	18074.259766	17978.900391	18004.769531	148000	18004.769531	0.00510290415585
2015-02-17	18103.980469	18123.009766	18092.320312	18123.009766	142100	18123.009766	0.00656716181767
2015-02-18	18103.980469	18202.609375	18092.320312	18199.169922	171600	18199.169922	0.00420240109029
2015-02-19	18237.349609	18322.5	18237.349609	18264.789062	168900	18264.789062	0.00360561169994
2015-02-20	18336.5	18360.919922	18297.669922	18332.300781	141900	18332.300781	0.0036962769606
2015-02-23	18499.580078	18509.080078	18402.019531	18466.919922	152800	18466.919922	0.00734327581727
2015-02-24	18468.390625	18603.480469	18427.980469	18603.480469	140800	18603.480469	0.00739487405462
2015-02-25	18636.339844	18648.769531	18552.810547	18585.199219	134900	18585.199219	-0.000982679022372
2015-02-26	18587.869141	18790.830078	18587.130859	18785.789062	155500	18785.789062	0.0107929885839
2015-02-27	18844.279297	18865.390625	18714.640625	18797.939453	169500	18797.939453	0.0006467863
2015-03-02	18869.400391	18939.169922	18775.230469	18826.880859	130800	18826.880859	0.00153960523558
2015-03-03	18910.519531	18910.519531	18730.570312	18815.160156	150200	18815.160156	-0.000622551504297
2015-03-04	18716.779297	18732.660156	18586.839844	18703.599609	139000	18703.599609	-0.00592929032095
2015-03-05	18658.160156	18767.5	18655.359375	18751.839844	118200	18751.839844	0.00257919523559
2015-03-06	18814.849609	18979.640625	18808.300781	18971.0	142700	18971.0	0.0116873948276
2015-03-09	18872.960938	18878.150391	18733.869141	18790.550781	118000	18790.550781	-0.0095118453956
2015-03-10	18891.009766	18924.380859	18577.060547	18665.109375	143900	18665.109375	-0.00667577057543
2015-03-11	18604.869141	18836.929688	18583.519531	18723.519531	130000	18723.519531	0.00312937657243
2015-03-12	18787.099609	19008.130859	18774.419922	18991.109375	145200	18991.109375	0.0142916423142
2015-03-13	19119.580078	19335.800781	19042.25	19254.25	221000	19254.25	0.0138559901796
2015-03-16	19245.380859	19349.199219	19226.710938	19246.060547	125100	19246.060547	-0.000425332225353
2015-03-17	19425.890625	19479.890625	19373.390625	19437.0	127800	19437.0	0.00992096291777
2015-03-18	19407.759766	19555.720703	19389.240234	19544.480469	130400	19544.480469	0.00552968405618
2015-03-19	19514.640625	19557.169922	19312.699219	19476.560547	146600	19476.560547	-0.00347514594249
2015-03-20	19479.710938	19565.439453	19416.630859	19560.220703	133400	19560.220703	0.00429542761403
2015-03-23	19479.710938	19565.439453	19416.630859	19560.220703	133400	19560.220703	0.0
2015-03-24	19718.990234	19770.640625	19646.349609	19713.449219	137600	19713.449219	0.00783368032123
2015-03-25	19745.75	19775.449219	19542.220703	19746.199219	140700	19746.199219	0.00166130237465
2015-03-26	19605.599609	19623.109375	19397.009766	19471.119141	150200	19471.119141	-0.0139307861199
2015-03-27	19374.720703	19590.029297	19099.869141	19285.630859	173000	19285.630859	-0.00952632874653
2015-03-30	19295.210938	19474.070312	19227.289062	19411.400391	132200	19411.400391	0.00652141135126
2015-03-31	19592.429688	19607.25	19206.990234	19206.990234	151600	19206.990234	-0.0105304178412
2015-04-01	19129.75	19195.230469	18927.949219	19034.839844	155600	19034.839844	-0.00896290297973
2015-04-02	19141.929688	19433.890625	19115.140625	19312.789062	147100	19312.789062	0.014602130634
2015-04-03	19289.039062	19435.080078	19289.039062	19435.080078	101600	19435.080078	0.0063321261164
2015-04-06	19295.029297	19424.089844	19241.289062	19397.980469	93700	19397.980469	-0.00190889920963
2015-04-07	19539.029297	19667.480469	19501.310547	19640.539062	132900	19640.539062	0.0125043219518
2015-04-08	19729.699219	19845.529297	19693.630859	19789.810547	136500	19789.810547	0.00760017250692
2015-04-09	19851.119141	19957.320312	19822.490234	19937.720703	120000	19937.720703	0.0074740561891
2015-04-10	19989.550781	20006.0	19845.310547	19907.630859	132100	19907.630859	-0.00150919177012
2015-04-13	19967.380859	19975.660156	19825.689453	19905.460938	107000	19905.460938	-0.000108999459321
2015-04-14	19828.650391	19922.5	19828.650391	19908.679688	111500	19908.679688	0.000161701857095
2015-04-15	19838.529297	19913.419922	19823.859375	19869.759766	118000	19869.759766	-0.00195492230574
2015-04-16	19862.480469	19894.349609	19742.119141	19885.769531	169100	19885.769531	0.000805735207096
2015-04-17	19810.400391	19815.25	19638.369141	19652.880859	182600	19652.880859	-0.0117113230965
2015-04-20	19501.0	19725.859375	19474.230469	19634.490234	139800	19634.490234	-0.000935772476918
2015-04-21	19731.570312	19909.089844	19678.220703	19909.089844	156800	19909.089844	0.0139855736883
2015-04-22	19999.839844	20144.660156	19983.0	20133.900391	204400	20133.900391	0.011291854563
2015-04-23	20227.279297	20252.119141	20116.189453	20187.650391	200900	20187.650391	0.00266962679641
2015-04-24	20142.470703	20142.470703	20013.740234	20020.039062	135500	20020.039062	-0.00830266651907
2015-04-27	20063.800781	20069.240234	19909.859375	19983.320312	119800	19983.320312	-0.001834099818
